"code","phecode_unrolled"
"350.6","350.6"
"350.6","350"
"351","351"
"352","352"
"352.1","352.1"
"352.1","352"
"352.2","352.2"
"352.2","352"
"353","353"
"353.1","353.1"
"353.1","353"
"353.2","353.2"
"353.2","353"
"355","355"
"355.1","355.1"
"355.1","355"
"356","356"
"357","357"
"358","358"
"358.1","358.1"
"358.1","358"
"359","359"
"359.1","359.1"
"359.1","359"
"359.2","359.2"
"359.2","359"
"360","360"
"360.2","360.2"
"360.2","360"
"360.3","360.3"
"360.3","360"
"361","361"
"361.1","361.1"
"361.1","361"
"361.2","361.2"
"361.2","361"
"362","362"
"362.1","362.1"
"362.1","362"
"362.11","362.11"
"362.11","362.1"
"362.11","362"
"362.12","362.12"
"362.12","362.1"
"362.12","362"
"362.13","362.13"
"362.13","362.1"
"362.13","362"
"362.14","362.14"
"362.14","362.1"
"362.14","362"
"362.15","362.15"
"362.15","362.1"
"362.15","362"
"362.16","362.16"
"362.16","362.1"
"362.16","362"
"362.2","362.2"
"362.2","362"
"362.23","362.23"
"362.23","362.2"
"362.23","362"
"362.26","362.26"
"362.26","362.2"
"362.26","362"
"362.3","362.3"
"362.3","362"
"362.4","362.4"
"362.4","362"
"362.6","362.6"
"362.6","362"
"362.7","362.7"
"362.7","362"
"362.8","362.8"
"362.8","362"
"362.9","362.9"
"362.9","362"
"363","363"
"363.3","363.3"
"363.3","363"
"364","364"
"364.1","364.1"
"364.1","364"
"364.2","364.2"
"364.2","364"
"364.4","364.4"
"364.4","364"
"364.41","364.41"
"364.41","364.4"
"364.41","364"
"364.5","364.5"
"364.5","364"
"364.9","364.9"
"364.9","364"
"365","365"
"365.1","365.1"
"365.1","365"
"365.11","365.11"
"365.11","365.1"
"365.11","365"
"365.2","365.2"
"365.2","365"
"366","366"
"366.1","366.1"
"366.1","366"
"366.2","366.2"
"366.2","366"
"366.3","366.3"
"366.3","366"
"367","367"
"367.1","367.1"
"367.1","367"
"367.2","367.2"
"367.2","367"
"367.4","367.4"
"367.4","367"
"367.8","367.8"
"367.8","367"
"367.9","367.9"
"367.9","367"
"368","368"
"368.1","368.1"
"368.1","368"
"368.11","368.11"
"368.11","368.1"
"368.11","368"
"368.12","368.12"
"368.12","368.1"
"368.12","368"
"368.13","368.13"
"368.13","368.1"
"368.13","368"
"368.14","368.14"
"368.14","368.1"
"368.14","368"
"368.2","368.2"
"368.2","368"
"368.3","368.3"
"368.3","368"
"368.4","368.4"
"368.4","368"
"368.5","368.5"
"368.5","368"
"368.9","368.9"
"368.9","368"
"368.91","368.91"
"368.91","368.9"
"368.91","368"
"369","369"
"369.1","369.1"
"369.1","369"
"369.2","369.2"
"369.2","369"
"369.5","369.5"
"369.5","369"
"370","370"
"370.1","370.1"
"370.1","370"
"370.2","370.2"
"370.2","370"
"370.3","370.3"
"370.3","370"
"370.31","370.31"
"370.31","370.3"
"370.31","370"
"371","371"
"371.1","371.1"
"371.1","371"
"371.2","371.2"
"371.2","371"
"371.21","371.21"
"371.21","371.2"
"371.21","371"
"371.3","371.3"
"371.3","371"
"371.33","371.33"
"371.33","371.3"
"371.33","371"
"371.9","371.9"
"371.9","371"
"372","372"
"374","374"
"374.1","374.1"
"374.1","374"
"374.2","374.2"
"374.2","374"
"374.3","374.3"
"374.3","374"
"375","375"
"375.1","375.1"
"375.1","375"
"375.2","375.2"
"375.2","375"
"375.3","375.3"
"375.3","375"
"376","376"
"377","377"
"377.1","377.1"
"377.1","377"
"377.2","377.2"
"377.2","377"
"377.3","377.3"
"377.3","377"
"378","378"
"378.1","378.1"
"378.1","378"
"378.11","378.11"
"378.11","378.1"
"378.11","378"
"378.12","378.12"
"378.12","378.1"
"378.12","378"
"378.13","378.13"
"378.13","378.1"
"378.13","378"
"378.2","378.2"
"378.2","378"
"378.5","378.5"
"378.5","378"
"379","379"
"379.1","379.1"
"379.1","379"
"379.2","379.2"
"379.2","379"
"379.3","379.3"
"379.3","379"
"379.4","379.4"
"379.4","379"
"379.5","379.5"
"379.5","379"
"379.51","379.51"
"379.51","379.5"
"379.51","379"
"379.9","379.9"
"379.9","379"
"380","380"
"380.1","380.1"
"380.1","380"
"380.4","380.4"
"380.4","380"
"381","381"
"381.1","381.1"
"381.1","381"
"381.11","381.11"
"381.11","381.1"
"381.11","381"
"381.2","381.2"
"381.2","381"
"381.3","381.3"
"381.3","381"
"381.9","381.9"
"381.9","381"
"382","382"
"383","383"
"384","384"
"384.1","384.1"
"384.1","384"
"384.4","384.4"
"384.4","384"
"385","385"
"385.3","385.3"
"385.3","385"
"385.5","385.5"
"385.5","385"
"386","386"
"386.1","386.1"
"386.1","386"
"386.2","386.2"
"386.2","386"
"386.21","386.21"
"386.21","386.2"
"386.21","386"
"386.3","386.3"
"386.3","386"
"386.9","386.9"
"386.9","386"
"388","388"
"389","389"
"389.1","389.1"
"389.1","389"
"389.2","389.2"
"389.2","389"
"389.3","389.3"
"389.3","389"
"389.4","389.4"
"389.4","389"
"389.5","389.5"
"389.5","389"
"394","394"
"394.1","394.1"
"394.1","394"
"394.2","394.2"
"394.2","394"
"394.3","394.3"
"394.3","394"
"394.4","394.4"
"394.4","394"
"394.7","394.7"
"394.7","394"
"395","395"
"395.1","395.1"
"395.1","395"
"395.2","395.2"
"395.2","395"
"395.3","395.3"
"395.3","395"
"395.4","395.4"
"395.4","395"
"395.6","395.6"
"395.6","395"
"396","396"
"401","401"
"401.1","401.1"
